Error category,Source sentence,Target sentence,Reference
N; W,"Nintendo has dreamed up a better way for Mario Kart fans to play each other.","任天堂为马里奥卡丁车迷们想出了一种更好的方式来玩对方。","任天堂为「马里奥卡丁车」迷们想出了一种更好的方式来「玩对方」。"
W,"Nintendo has dreamed up a better way for Go Kart fans to play each other.","任天堂已经为卡丁车迷们想出了一种更好的方式来玩对方。","任天堂已经为卡丁车迷们想出了一种更好的方式来「玩对方」。"
W,"Keeping employees engaged and happy while they are working remotely has become a challenge for companies.","让员工在远程工作时保持敬业度和快乐已成为公司面临的挑战。","让员工在远程工作时保持「敬业度」和快乐已成为公司面临的挑战。"
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","已经受到立法者和监管机构攻击的Twitter似乎在周四完全下跌。","已经受到立法者和监管机构攻击的「Twitter」似乎在周四完全「下跌」。"
N,"Twitter, often under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","Twitter经常受到立法者和监管机构的攻击，周四似乎完全倒闭。",""
N; W,"Twitter, reportedly under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","据报道，Twitter受到立法者和监管机构的攻击，周四似乎完全下跌。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down early on Thursday.","已经受到立法者和监管机构攻击的Twitter似乎在周四早些时候就下线了。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down fast on Thursday.","已经受到立法者和监管机构攻击的Twitter周四似乎迅速下跌。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down quickly on Thursday.","已经受到立法者和监管机构攻击的Twitter周四似乎迅速下跌。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down rapidly on Thursday.","已经受到立法者和监管机构攻击的Twitter周四似乎迅速下跌。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down nationwide on Thursday.","Twitter已经受到立法者和监管机构的攻击，周四似乎在全国范围内下跌。",""
U; W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着国家对选举日的担忧正在酝酿，人们担心可能来自一个新来源的选举干预：勒索软件。","「随着国家对选举日的担忧正在酝酿，人们担心可能来自一个新来源的选举干预【随着国家临近选举日，对于可能来自一个新来源的选举干扰的担忧 正在 涌现/沸腾】」：勒索软件。"
O; W,"As the country careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着该国逐渐接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。","随着该国「逐渐」接近选举日，人们对可能来自新来源的选举干预的担忧正在「冒泡【涌现/沸腾】」：勒索软件。"
W,"As the election careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着选举日临近，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the campaign careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着竞选活动接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the state careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着该州接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the government careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着政府接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
O; W,"As the party careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着该党逐渐接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day rumors are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，关于可能来自新来源的选举干预的谣言正在冒泡：勒索软件。",""
W,"As the nation careens toward election day concerns are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，人们对可能来自新来源的选举干预的担忧正在冒泡：勒索软件。",""
L; W,"As the nation careens toward election day threats are bubbling up about possible election interference from a new source: ransomware.","随着国家向选举日迈进，威胁正在冒泡，可能来自新来源的选举干预：勒索软件。","随着国家向选举日迈进，「威胁正在冒泡，可能来自新来源的选举干预」：勒索软件。"
W,"As the nation careens toward election day rumours are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，关于可能来自新来源的选举干预的谣言正在冒泡：勒索软件。",""
W,"As the nation careens toward election day complaints are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，关于可能来自新来源的选举干预的投诉正在冒泡：勒索软件。",""
W,"As the nation careens toward election day stories are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，关于可能来自新来源的选举干预的故事正在冒泡：勒索软件。",""
W,"As the nation careens toward election day questions are bubbling up about possible election interference from a new source: ransomware.","随着国家向选举日迈进，关于可能来自新来源的选举干预的问题正在冒泡：勒索软件。",""
W,"As the nation careens toward election day reports are bubbling up about possible election interference from a new source: ransomware.","随着国家接近选举日，关于可能来自新来源的选举干预的报告正在冒泡：勒索软件。",""
W,"As the nation careens toward election day allegations are bubbling up about possible election interference from a new source: ransomware.","随着国家进入选举日，关于可能来自新来源的选举干预的指控正在冒泡：勒索软件。",""
O; W,"As the nation careens toward election day fears are bubbling up about potential election interference from a new source: ransomware.","随着国家逐渐接近选举日，人们对来自新来源的潜在选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible government interference from a new source: ransomware.","随着国家接近选举日，人们对政府可能来自新来源的干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election fraud from a new source: ransomware.","随着国家接近选举日，人们对可能来自新来源的选举欺诈的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election violence from a new source: ransomware.","随着国家接近选举日，人们对可能来自新来源的选举暴力的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election disruption from a new source: ransomware.","随着国家走向选举日，人们对可能来自新来源的选举中断的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election manipulation from a new source: ransomware.","随着国家接近选举日，人们对可能来自新来源的选举操纵的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election damage from a new source: ransomware.","随着国家接近选举日，人们对来自新来源的选举损害的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a third source: ransomware.","随着国家在选举日前夕，人们对来自第三个来源的可能选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a single source: ransomware.","随着国家对选举日的担忧正在酝酿，关于可能来自单一来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a second source: ransomware.","随着国家对选举日的密切关注，人们对第二个来源可能进行的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a mysterious source: ransomware.","随着国家接近选举日，人们对可能来自神秘来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a fourth source: ransomware.","随着国家接近选举日，人们对第四个来源可能干扰选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a hidden source: ransomware.","随着国家接近选举日，人们对可能来自隐藏来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a secret source: ransomware.","随着国家接近选举日，人们对可能来自秘密来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a fifth source: ransomware.","随着国家接近选举日，人们对第五个来源的选举干预的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new threat: ransomware.","随着国家接近选举日，人们对新威胁（勒索软件）可能干扰选举的担忧正在冒泡。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new technology: ransomware.","随着国家接近选举日，人们对新技术可能干扰选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new weapon: ransomware.","随着国家接近选举日，人们对一种新武器可能干扰选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new enemy: ransomware.","随着国家接近选举日，人们对新敌人可能干预选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new tool: ransomware.","随着国家接近选举日，人们对新工具可能干扰选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new virus: ransomware.","随着国家接近选举日，人们对一种新病毒可能干扰选举的担忧正在冒泡：勒索软件。",""
W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new generation: ransomware.","随着国家接近选举日，人们对新一代可能干预选举的担忧正在冒泡：勒索软件。",""
N; W,"Mcdonald is putting a new spin on an old favorite as it tries to lure him back during the pandemic.","麦克唐纳正在给一个老朋友带来新的旋转，因为它试图在大流行期间引诱他回来。","「麦克唐纳」「正在给一个老朋友带来新的旋转」，因为它试图在「大流行」期间引诱他回来。"
W,"Mcdonald is putting a modern spin on an old favorite as it tries to lure him back during the pandemic.","麦当劳正在为一个古老的最爱进行现代旋转，因为它试图在大流行期间吸引他回来。","麦当劳正在为一个古老的最爱「进行现代旋转」，因为它试图在「大流行」期间吸引他回来。"
W,"The pandemic has severely disrupted the education and health systems that millions of parents depend on.","这场大流行严重扰乱了数百万父母所依赖的教育和卫生系统。",""
W,"The pandemic has severely disrupted the schooling and health systems that millions of parents depend on.","这场大流行严重扰乱了数百万父母赖以生存的学校教育和卫生系统。",""
W,"A hotly-contested case about government coverage for small businesses who were unable to trade prior to lockdown heads to the Supreme Court on Monday.","周一，一起关于政府为在封锁之前无法交易的小企业提供保险的激烈争议案件将提交最高法院。","周一，一起关于「政府为」在封锁之前无法交易的小企业「提供保险」的激烈争议案件将提交最高法院。"
U,"A hotly-contested case about liability coverage for small businesses who were unable to trade prior to lockdown heads to the Supreme Court on Monday.","周一，一起关于在封锁前无法交易的小企业的责任保险的激烈争议案件将提交最高法院。","周一，一起关于在封锁前无法交易的小企业的责任保险【范围】的激烈争议案件将提交最高法院。"
U,"A hotly-contested case about insurance coverage for small businesses who were free to trade prior to lockdown heads to the Supreme Court on Monday.","周一，关于在封锁之前可以自由交易的小企业保险的激烈争议案件将提交最高法院。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","高等法院裁定，大多数（但不是全部）涉及的政策应该为这些小企业提供潜在的生命线。","【这到了高等法院，】高等法院裁定，大多数（但不是全部）涉及的「政策【保单】」应该【支付/赔付】为这些小企业提供潜在的生命线。"
U; W,"This went to the Supreme Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被提交给了最高法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供潜在的生命线。","这「被提交给了」最高法院，法官裁定，大多数（但不是全部）所涉及的保单都应该【…】为这些小企业提供潜在的生命线。"
U; W,"This went to the District Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了地方法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供潜在的生命线。",""
W,"This went to the Tax Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了税务法院，法官裁定，大多数（但不是全部）涉及的政策都应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the Federal Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了联邦法院，法官裁定，大多数（但不是全部）所涉及的政策都应该支付，为这些小企业提供潜在的生命线。",""
U; W,"This went to the Superior Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供潜在的生命线。","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该【…】为这些小企业提供潜在的生命线。"
U; W,"This went to the Appeals Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了上诉法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供潜在的生命线。",""
U; W,"This went to the Circuit Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.","这被送到了巡回法院，法官裁定，大多数（但不是全部）涉及的政策都应该为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the banks involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是所有）参与的银行都应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the investors involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是所有）参与的投资者都应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the organisations involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是所有）参与的组织都应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the individuals involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是所有）涉案个人都应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the firms involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）参与的公司都应该支付费用，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the funds involved should pay out offering a potential lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）涉及的资金应该支付，为这些小企业提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a financial lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该支付，为这些小企业提供金融生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a new lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该支付，为这些小企业提供新的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a valuable lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该支付，为这些小企业提供宝贵的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a positive lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供积极的生命线。","这「被送到了」高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该【…】为这些小企业提供积极的生命线。"
