Error category,Source sentence,Target sentence,Reference
W,"There’s something deeply moving about seeing something germinate, flower or even go to seed.","看到一些东西发芽、开花甚至播种，会有一些深深的感动。","看到「一些东西【某物】」发芽、开花甚至「播种【结籽】」，会有一些深深的感动。"
W,"There’s something incredibly moving about seeing something germinate, flower or even go to seed.","看到一些东西发芽、开花甚至播种，真是令人难以置信地感动。",""
W,"There’s something almost moving about seeing something germinate, flower or even go to seed.","看到一些东西发芽、开花甚至播种，几乎是令人感动的。",""
W,"There’s something really moving about seeing something germinate, flower or even go to seed.","看到一些东西发芽、开花甚至播种，真的很感人。",""
W,"There’s something truly moving about seeing something germinate, flower or even go to seed.","看到一些东西发芽、开花甚至播种，真的很感人。",""
U; W,"There’s something deeply moving about seeing seed germinate, flower or even go to seed.","看到种子发芽、开花甚至播种，真是令人感动。","看到种子发芽、开花甚至「播种」，真是令人【深深】感动。"
U; W,"There’s something deeply moving about seeing fruit germinate, flower or even go to seed.","看到水果发芽、开花甚至播种，真是令人感动。",""
W,"There’s something deeply moving about seeing something germinate, flower or otherwise go to seed.","看到一些东西发芽、开花或以其他方式播种，会有一些深深的感动。","看到「一些东西」发芽、开花或「以其他方式播种」，会有一些深深的感动。"
U; W,"There’s something deeply moving about seeing something germinate, flower or even go to waste.","看到一些东西发芽、开花甚至浪费，真是令人感动。","看到「一些东西」发芽、开花甚至浪费，真是令人【…】感动。"
W,"Fame is more easily achievable in a multimedia environment but then again, so is criticism.","在多媒体环境中更容易成名，但话又说回来，批评也是如此。","在多媒体环境中「更容易成名【名声/名望 (是)更容易 获得(的)/更容易获得 名声/名望】」，但话又说回来，批评也是如此。"
W,"Information is more easily achievable in a multimedia environment but then again, so is criticism.","在多媒体环境中，信息更容易实现，但话又说回来，批评也是如此。","在多媒体环境中，信息更容易「实现【获得】」，但话又说回来，批评也是如此。"
W,"Content is more easily achievable in a multimedia environment but then again, so is criticism.","内容在多媒体环境中更容易实现，但话又说回来，批评也是如此。","内容在多媒体环境中更容易「实现【获得】」，但话又说回来，批评也是如此。"
L; U,"The world is changing and there is an increasing opportunity for more diverse perspectives on life.","世界正在发生变化，对生活有更多不同看法的机会。","世界正在发生变化，【…】对生活有更多「不同」看法「的机会」。"
W,"She has gone viral on micro-blogging platform Sina Weibo after her passion for art made the headlines.","她在微博平台新浪微博上风靡一时，因为她对艺术的热情成为头条新闻。","她在微博平台新浪微博上风靡一时，「因为」她对艺术的热情成为头条新闻。"
U,"I have complete love and respect for Tom and for our years and the lives we had together.","我对汤姆、我们的岁月和我们共同的生活充满爱和尊重。","我对汤姆、我们的岁月和我们共同的生活充满【完全的】爱和尊重。"
U,"I have tremendous love and respect for Tom and for our years and the lives we had together.","我对汤姆以及我们的岁月和我们共同的生活充满爱和尊重。","我对汤姆以及我们的岁月和我们共同的生活充满【极大的】爱和尊重。"
U,"I have great affection and respect for Tom and for our years and the lives we had together.","我对汤姆以及我们的岁月和我们共同的生活充满感情和敬意。","我对汤姆以及我们的岁月和我们共同的生活充满【…】感情和敬意。"
U,"In a confounding and challenging year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和充满挑战的一年里，音乐让我们既能反思世界的状况，又能从中学习。","尼克·莱文（Nick Levine）写道，在一个令人困惑和充满挑战的一年里，音乐让我们既能反思世界的状况，又能【…】从中学习。"
U,"In a confounding and fascinating year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和迷人的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and unique year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和独特的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and difficult year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在令人困惑和艰难的一年里，音乐让我们既能反思世界的状况，又能从中学习。","尼克·莱文（Nick Levine）写道，在令人困惑和艰难的一年里，音乐让我们既能反思世界的状况，又能【…】从中学习。"
U,"In a confounding and exciting year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和令人兴奋的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and unpredictable year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和不可预测的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and confusing year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和困惑的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the beauty of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的美丽，又能从中学习。","尼克·莱文（Nick Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的美丽，又能【…】从中学习。"
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the complexity of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的复杂性，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the history of the world and learn from it with equal brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的历史，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with musical brilliance, writes Nick Levine.","尼克·莱文（Nick Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习音乐的才华。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Philip Levine.","菲利普·莱文（Philip Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Stewart Levine.","斯图尔特·莱文（Stewart Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes James Levine.","詹姆斯·莱文（James Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Stephen Levine.","斯蒂芬·莱文（Stephen Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
U,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Ian Levine.","伊恩·莱文（Ian Levine）写道，在一个令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能从中学习。",""
