Error category,Source sentence,Target sentence,Reference
U,"The state public health authorities and nursing homes have ongoing reservations about the rapid tests.","州公共卫生当局和疗养院对快速检测持保留态度。","州公共卫生当局和疗养院对快速检「测持【持续的】保留态度【/一直持保留态度】」。"
W,"The state public health authorities and nursing homes have ongoing protests about the rapid tests.","州公共卫生当局和疗养院正在抗议快速检测。","州公共卫生当局和疗养院「正在【一直/持续/不断】」抗议快速检测。"
W,"They try to be optimistic about the wisdom of rolling out such an unprecedented immunization program.","他们试图对推出这样一个前所未有的免疫计划是否明智持乐观态度。","他们试图对推出这样一个前所未有的免疫计划「是否明智【的智慧】」持乐观态度。"
U,"Health care providers see testing as the single most important tool they have in managing the disease.","医疗保健提供者将测试视为他们管理疾病的最重要工具。","医疗保健提供者将测试视为他们管理疾病的【唯一】最重要工具。"
U,"Health care providers see testing as the single most important tool they have in managing the patient.","医疗保健提供者将测试视为他们管理患者时最重要的工具。","医疗保健提供者将测试视为他们管理患者时【…】最重要的工具。"
U,"Health care providers see testing as the single most important tool they have in managing the population.","医疗保健提供者将测试视为他们管理人口中最重要的工具。",""
U,"Health care providers see testing as the single most important tool they have in managing the system.","医疗保健提供者将测试视为他们在管理系统中最重要的工具。",""
U,"The result is said to be planning legislation which will regulate the movement of staff between airports.","据说其结果是计划立法，规范工作人员在机场之间的流动。","据说其结果「是【正在】」计划立法，规范工作人员在机场之间的流动。"
W,"To test that magnifier, the researchers identified clusters of gene exons that function differently during fetal development.","为了测试放大镜，研究人员确定了在胎儿发育过程中功能不同的基因外显子簇。","为了测试放大镜，研究人员确定了在胎儿发育过程中「功能不同【起 不同 作用】的」基因外显子簇。"
L,"To test that magnifier, the researchers identified clusters of gene exons that function primarily during fetal development.","为了测试放大镜，研究人员确定了主要在胎儿发育过程中起作用的基因外显子簇。","为了测试放大镜，研究人员确定了「主要」在胎儿发育过程中起【主要】作用的基因外显子簇。"
