Error category,Source sentence,Target sentence,Reference
W,"According to the education ministry, secondary and tertiary schools are expected to reopen in November.","据教育部称，中学和高等教育预计将于11月重新开放。","据教育部称，中学和「高等教育【高等学校】」预计将于11月重新开放。"
W,"Half a dozen women were among the victims for which the Islamic State front has claimed responsibility.","六名妇女是伊斯兰国阵线声称负责的受害者之一。","六名妇女是伊斯兰国阵线声称负责的受害者「之一」。"
L,"Half a dozen women were among the casualties for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对他们负责的伤亡人员中有六名妇女。","伊斯兰国阵线声称对「他们负责的伤亡人员中有六名妇女」。"
L; U,"Half a dozen women were among the fatalities for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对六名妇女负责。",""
L,"Half a dozen women were among the killings for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对杀戮事件有六名妇女负责。","伊斯兰国阵线声称对杀戮事件「有六名妇女」负责。"
L,"Half a dozen women were among the victims for which the Islamic State group has claimed responsibility.","伊斯兰国家集团声称对受害者有六名妇女负责。",""
L,"The ministers renewed the work of new fiscal policy, which was disrupted by the pandemic early this year.","部长们更新了今年年初因疫情而中断的新财政政策工作。","部长们更新了今年年初因疫情而中断的新财政政策【的】工作。"
L,"The ministers renewed the project of new fiscal policy, which was disrupted by the pandemic early this year.","部长们更新了今年年初因疫情而中断的新财政政策项目。",""
L,"The ministers renewed the process of new fiscal policy, which was disrupted by the pandemic early this year.","部长们更新了今年年初因疫情而中断的新财政政策进程。",""
W,"The ministers renewed the debate of new fiscal policy, which was disrupted by the pandemic early this year.","部长们重新开始了关于新财政政策的辩论，该政策在今年年初因大流行而中断。","部长们重新开始了关于新财政政策的辩论，该政策在今年年初因「大流行【病】」而中断。"
U,"The ministers renewed the discussion of new fiscal policy, which was disrupted by the pandemic early this day.","部长们重新讨论了因疫情而中断的新财政政策。","部长们重新讨论了【…】因疫情而中断的新财政政策。"
U; W,"Experts are concerned that widespread belief in COVID-19 conspiracy theories could make vaccination campaigns less effective when treatments become available.","专家们担心，对COVID-19阴谋论的普遍信念可能会使疫苗接种运动在获得治疗时效果降低。","专家们担心，对「COVID-19」阴谋论的普遍「信念【相信/信任】」可能会使疫苗接种运动「在获得治疗时【在 可得到 治疗时】」效果降低。"
U; W,"Experts are concerned that widespread belief in COVID-19 conspiracy theories could make vaccination campaigns less effective when computers become available.","专家们担心，当计算机可用时，对COVID-19阴谋论的广泛信念可能会使疫苗接种活动的效果降低。",""
U; W,"Experts are concerned that widespread belief in COVID-19 conspiracy theories could make vaccination campaigns less effective when alternatives become available.","专家们担心，当有替代品可用时，对COVID-19阴谋论的普遍信念可能会使疫苗接种运动的效果降低。",""
U; W,"Experts are concerned that widespread belief in COVID-19 conspiracy theories could make vaccination campaigns less effective when medicines become available.","专家们担心，对COVID-19阴谋论的普遍看法可能会使疫苗接种运动在药物可用时效果降低。",""
