Error category,Source sentence,Target sentence,Reference
N; U,"Theo Walcott said he ""feels like a kid again"" after scoring his first try since joining Southampton in their Premier League game at Wolves.","沃尔科特说，自从加盟南安普顿参加对阵狼队的英超比赛以来，他“感觉又像个孩子了”。","【西奥·】沃尔科特说，自从加盟南安普顿参加对阵狼队的英超比赛【第一次尝试得分】以来，他“感觉又像个孩子了”。"
L; W,"Theo Walcott said he "" feels like a teenager again "" after scoring his first try since joining Southampton in their Premier League game at Wolves.","西奥·沃尔科特说他“感觉又像个少年了”，自从加盟南安普顿在狼队的英超联赛中打进了第一次尝试。","西奥·沃尔科特说他“感觉又像个少年了”，自从加盟南安普顿在【对阵】狼队的英超联赛中「打进了第一次尝试」。"
N; W,"Theo Walcott said he "" feels like a striker again "" after scoring his first try since joining Southampton in their Premier League game at Wolves.","沃尔科特说他“感觉自己又像个前锋了”，自从加盟南安普顿在对阵狼队的英超比赛中打进了第一次进球。",""
L; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first goal since joining Southampton in their Premier League game at Wolves.","西奥·沃尔科特说他“感觉又像个孩子了”，因为他在对阵狼队的英超联赛中打进了加盟南安普顿后的第一个进球。","西奥·沃尔科特说他“感觉又像个孩子了”，「因为」他在对阵狼队的英超联赛中「打进了加盟南安普顿后的第一个进球」。"
L; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Wigan in their Premier League game at Wolves.","西奥·沃尔科特说他“感觉又像个孩子了”，自从加盟维冈在狼队的英超联赛中打进了第一次尝试。",""
L; U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Liverpool in their Premier League game at Wolves.","西奥·沃尔科特说，自从加盟利物浦在狼队的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
L,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Northampton in their Premier League game at Wolves.","西奥·沃尔科特说他“感觉又像个孩子了”，自从加盟北安普顿参加对阵狼队的英超比赛以来，他第一次尝试得分。",""
L; N; U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their First League game at Wolves.","沃尔科特说，自从加盟南安普顿在狼队的第一场联赛中打进后，他“感觉又像个孩子了”。",""
L; N; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Wigan.","沃尔科特说，自从加盟南安普顿在维冈的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
L; N; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Newcastle.","沃尔科特说，自从加盟南安普顿在纽卡斯尔的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
L; N; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Leicester.","沃尔科特说，自从加盟南安普顿在莱斯特城的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
L; N; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Huddersfield.","沃尔科特说，自从加盟南安普顿在哈德斯菲尔德的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
L; N; W,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Cardiff.","沃尔科特说，自从加盟南安普顿在卡迪夫城的英超联赛中首次进球后，他“感觉又像个孩子了”。",""
W,"Balancing a career in professional sport with being a social media sensation is a tightrope to me.","在职业体育生涯与社交媒体轰动之间取得平衡对我来说是一条钢丝。","在职业体育生涯与「社交媒体轰动【成为 引起社交媒体轰动的人】」之间取得平衡对我来说「是一条钢丝【像走钢丝一样】」。"
W,"Balancing a career in professional sport with being a huge media sensation is a tightrope to me.","在职业体育生涯与媒体轰动之间取得平衡对我来说是一条钢丝。",""
U; W,"Balancing a career in professional sport with being a social media entrepreneur is a tightrope to me.","平衡职业体育事业与社交媒体企业家对我来说是一条钢丝。","平衡职业体育事业与【成为】社交媒体企业家对我来说「是一条钢丝」。"
U; W,"Balancing a career in professional sport with being a social media user is a tightrope to me.","平衡职业体育事业与社交媒体用户对我来说是一条钢丝。",""
U; W,"Balancing a career in professional sport with being a social media expert is a tightrope to me.","在职业体育事业与社交媒体专家之间取得平衡对我来说是一条钢丝。",""
U; W,"Balancing a career in professional sport with being a social media star is a tightrope to me.","在职业体育事业与社交媒体明星之间取得平衡对我来说是一条钢丝。",""
U; W,"Balancing a career in professional sport with being a social media journalist is a tightrope to me.","在职业体育事业与社交媒体记者之间取得平衡对我来说是一条钢丝。",""
U,"Prior to the COVID-19 pandemic, the event was staged behind closed doors and was an all-domestic field.","在 COVID-19 大流行之前，该活动是闭门进行的，是一个全国内的领域。","在「 COVID-19」 大流行之前，该活动是闭门进行的，是一个全国内的领域。"
U,"Prior to the COVID-19 pandemic, the show was staged behind closed doors and was an all-domestic field.","在 COVID-19 大流行之前，该节目是闭门上演的，是一个全国内的领域。",""
U; W,"Prior to the COVID-19 pandemic, the event was staged behind closed gates and was an all-domestic field.","在 COVID-19 大流行之前，该活动是在封闭的大门下举行的，是一个全国内的领域。","在 「COVID-19」 大流行之前，该活动是「在封闭的大门下【闭门】」举行的，是一个全国内的领域。"
U,"Prior to the COVID-19 pandemic, the event was staged behind closed curtains and was an all-domestic field.","在 COVID-19 大流行之前，该活动是在闭幕后举行的，是一个全国内的领域。",""
L,"Throughout the group and team stages, teams stayed in designated hotels where frequent medical testing was conducted.","在整个小组和团队阶段，团队入住指定酒店，频繁进行医学检测。","在整个小组和团队阶段，团队入住【频繁进行医学检查的】指定酒店「，频繁进行医学检测」。"
L,"Throughout the group and knockout stages, teams stayed in private hotels where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队住在私人酒店，在那里经常进行医学检查。","在整个小组赛和淘汰赛阶段，团队住在私人酒店，「在那里」经常进行医学检查。"
L,"Throughout the group and knockout stages, teams stayed in different hotels where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队住在不同的酒店，在那里经常进行医学测试。",""
L,"Throughout the group and knockout stages, teams stayed in designated areas where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队留在指定区域进行频繁的医学检测。",""
L,"Throughout the group and knockout stages, teams stayed in designated places where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队都呆在指定的地方，在那里进行频繁的医学检查。",""
L,"Throughout the group and knockout stages, teams stayed in designated venues where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队都呆在指定场地进行频繁的医学检测。",""
L,"Throughout the group and knockout stages, teams stayed in designated spots where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队都呆在指定地点，在那里进行频繁的医学检查。",""
L,"Throughout the group and knockout stages, teams stayed in designated zones where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队留在指定区域进行频繁的医学测试。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where regular medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队住在指定的酒店，定期进行医学检测。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where additional medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队住在指定的酒店进行额外的医学测试。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where periodic medical testing was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店进行定期医学检测。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent physical testing was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，经常进行体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent psychological testing was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，经常进行心理测试。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent medical examination was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，经常进行体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent medical screening was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，并经常进行体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent medical training was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，经常进行医疗培训。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent medical check was conducted.","在整个小组赛和淘汰赛阶段，团队入住指定酒店，经常进行体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where frequent medical inspection was conducted.","在整个小组赛和淘汰赛阶段，团队住在指定酒店，经常进行体检。",""
U,"The lockdown accelerated things because I was doing a bit more streaming online and getting more into it.","封锁加速了事情的发展，因为我在网上做了更多的流媒体，并且投入了更多。","封锁加速了事情的发展，因为我【正】在网上做了更多的流媒体，并且投入了更多。"
U,"Rory McIlroy and his caddie Harry Diamond used to have a dispute with each other during practice sessions.","罗里·麦克罗伊和他的球童哈里·戴蒙德曾经在练习期间发生过争执。","罗里·麦克罗伊和他的球童哈里·戴蒙德曾经在练习期间【与对方】发生过争执。"
U,"Rory McIlroy and his caddie Harry Diamond used to have a disagreement with each other during practice sessions.","罗里·麦克罗伊和他的球童哈里·戴蒙德曾经在练习课上发生过分歧。",""
U,"Saudi Arabia has rejected criticism after it was confirmed it would be its first Formula 1 race in 2021.","沙特阿拉伯在确认这将是2021年的第一场F1比赛后拒绝了批评。","沙特阿拉伯在确认这将是2021年的第一场「F1」比赛后拒绝了批评。"
U,"Saudi Arabia has rejected criticism after it was confirmed it would be its first Formula 1 entry in 2021.","沙特阿拉伯在确认这将是2021年首次参加F1比赛后拒绝了批评。",""
U,"There is a medical team, made up of more than 10 professionals that is in constant contact with everyone.","有一个由10多名专业人员组成的医疗团队，与每个人保持联系。","有一个由10多名专业人员组成的医疗团队，与每个人【持续】保持联系。"
W,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first fight in nearly a decade on Saturday night.","周六晚上，不败的中国拳手张志磊在近十年来的第一场比赛中创造了好莱坞的终结。","周六晚上，不败的中国拳手张志磊在近十年来的第一场比赛中创造了「好莱坞的【好莱坞式的】」终结。"
W,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first win in nearly a decade on Saturday night.","周六晚上，不败的中国拳手张志磊为他近十年来的首场胜利创造了好莱坞的成绩。","周六晚上，不败的中国拳手张志磊为他近十年来的首场胜利创造了好莱坞的「成绩【终结/结局】」。"
W,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first victory in nearly a decade on Saturday night.","周六晚上，不败的中国拳手张志磊为他近十年来的首场胜利创造了好莱坞的终结。",""
W,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first championship in nearly a decade on Saturday night.","周六晚上，不败的中国拳手张志磊为他近十年来的第一个冠军创造了好莱坞的终结。",""
U,"Burnley secured their first game in the Premier League this season as victory over Crystal Palace at Turf Moor lifted them out of the relegation zone.","伯恩利本赛季在英超联赛中的第一场比赛，在特夫摩尔战胜水晶宫，将他们带出了降级区。","伯恩利【确保】本赛季在英超联赛中的第一场比赛，在特夫摩尔战胜水晶宫，将他们带出了降级区。"
U,"On Saturday morning after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期六早上从休斯顿开车回来后，我开始感到喉咙痛和头痛。","星期六早上从休斯顿开车回来后，我开始感到【有点】喉咙痛和头痛。"
W,"He performed really well in the past camp, so that is a given but we have got it in depth.","他在过去的训练营中表现得非常好，所以这是理所当然的，但我们已经深入到了。","他在过去的训练营中表现得非常好，所以这是理所当然的，但我们已经深入「到【了解】」了。"
W,"He performed really well in the first camp, so that is a given but we have got it in depth.","他在第一训练营的表现非常好，所以这是理所当然的，但我们已经深入了。",""
W,"He performed really well in the main camp, so that is a given but we have got it in depth.","他在主营的表现非常好，所以这是理所当然的，但我们已经深入到了。",""
O,"We just carry on and focus on the next game, the next game and that's what we are doing.","我们只是继续前进，专注于下一场比赛，下一场比赛，这就是我们正在做的事情。","我们只是继续「前进」，专注于下一场比赛，下一场比赛，这就是我们正在做的事情。"
O,"We just carry on and focus on the next game, the big game and that's what we are doing.","我们只是继续前进，专注于下一场比赛，一场重要的比赛，这就是我们正在做的事情。",""
O,"We just carry on and focus on the next game, the next season and that's what we are doing.","我们只是继续前进，专注于下一场比赛，下个赛季，这就是我们正在做的事情。",""
O,"We just carry on and focus on the next game, the next year and that's what we are doing.","我们只是继续前进，专注于下一场比赛，明年，这就是我们正在做的事情。",""
O,"We just carry on and focus on the next game, the next week and that's what we are doing.","我们只是继续前进，专注于下一场比赛，下周，这就是我们正在做的事情。",""
