Error category,Source sentence,Target sentence,Reference
N,"Stoemp is both pub fare and a useful way to get leftovers at restaurants.","Stoemp既是酒吧的美食，也是在餐馆购买剩菜的有用方式。","「Stoemp」既是酒吧的美食，也是在餐馆购买剩菜的有用方式。"
N; U,"Stoemp is both cheap fare and a useful way to get leftovers at restaurants.","Stoemp既便宜又是在餐馆买剩菜的有用方式。","「Stoemp」「既便宜【既是便宜的 饭菜】」又是在餐馆买剩菜的有用方式。"
U,"Northwest China stands out as a tourist destination since COVID-19 has been put under control again.","自 COVID-19 再次得到控制以来，中国西北地区作为一个旅游目的地脱颖而出。","自 「COVID-19」 再次得到控制以来，中国西北地区作为一个旅游目的地脱颖而出。"
U,"Northwest China stands out as a tourist attraction since COVID-19 has been put under control again.","自 COVID-19 再次得到控制以来，中国西北地区作为一个旅游景点脱颖而出。",""
U,"Northwest China stands out as a tourist spot since COVID-19 has been put under control again.","自 COVID-19 再次得到控制以来，中国西北地区作为一个旅游景点脱颖而出。",""
U,"It also promotes cultural and educational exchange and enhances public understanding between Finland and the world.","它还促进文化和教育交流，增进公众与世界之间的了解。","它还促进文化和教育交流，增进公众【对芬兰】与世界之间的了解。"
W,"Tossing the wok allows better mixing, which is essential when you have super high humidity.","扔炒锅可以更好地混合，这在湿度超高时至关重要。","「扔【翻动/搅拌】」炒锅可以更好地混合，这在湿度超高时至关重要。"
W,"Tossing the wok allows better visibility, which is essential when you have super high humidity.","扔炒锅可以提高能见度，这在湿度超高时至关重要。","「扔【翻动/搅拌】」炒锅可以「提高能见度【有更好的能见度】」，这在湿度超高时至关重要。"
W,"Tossing the wok allows better humidity, which is essential when you have super high humidity.","扔炒锅可以提高湿度，这在湿度超高时至关重要。",""
O,"Tossing the wok allows better mixing, which is useful when you have super high humidity.","搅拌炒锅可以更好地混合，这在湿度超高时很有用。","搅拌炒锅可以更好地混合，这在湿度超高时「很」有用。"
O,"Tossing the wok allows better mixing, which is helpful when you have super high humidity.","搅拌炒锅可以更好地混合，这在湿度超高时很有帮助。",""
O,"Tossing the wok allows better mixing, which is important when you have super high humidity.","搅拌炒锅可以更好地混合，这在湿度超高时很重要。",""
W,"Tossing the wok allows better mixing, which is essential when you have super high performance.","抛炒锅可以更好地混合，这在具有超高性能时至关重要。","「抛」炒锅可以更好地混合，这在具有超高性能时至关重要。"
U,"Tossing the wok allows better mixing, which is essential when you have super high heat.","搅拌炒锅可以更好地混合，这在高温下至关重要。","搅拌炒锅可以更好地混合，这在【超】高温下至关重要。"
L,"Hotels should be flexible to meet the demand of consumers and at every step, he said.","他说，酒店应该灵活地满足消费者的需求和每一步。","他说，酒店应该灵活地满足消费者的【每一步】需求「和每一步」。"
U,"All scenic spots in Gansu's Gannan yi autonomous prefecture also offered free admission to visitors during the holiday.","甘肃甘南彝族自治州所有景区也为游客提供免费入场。","甘肃甘南彝族自治州所有景区也【在假期期间】为游客提供免费入场。"
