Error category,Source sentence,Target sentence,Reference
U,"Nintendo has dreamed up a better way for Mario Kart fans to play each other.","任天堂为《马里奥赛车》的粉丝们想出了一个更好的游戏方式。","任天堂为《马里奥赛车》的粉丝们想出了一个更好的「游戏方式【来互相玩】」。"
N,"Nintendo has dreamed up a better way for Mario Kart games to play each other.","任天堂想出了一种更好的方式让马里奥卡丁车游戏相互对战。","任天堂想出了一种更好的方式让马里奥「卡丁车」游戏相互对战。"
W,"Twitter, already under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","已经受到立法者和监管机构攻击的推特似乎在周四完全瘫痪了。","已经受到立法者和监管机构攻击的推特似乎在周四完全「瘫痪【倒闭/走下坡路】」了。"
W,"Transportation, already under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","已经受到立法者和监管机构攻击的交通运输似乎在周四全面下滑。","已经受到立法者和监管机构攻击的交通运输似乎在周四全面「下滑」。"
N; W,"Twitter, reportedly under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","据报道，受到立法者和监管机构攻击的 Twitter 在周四似乎完全瘫痪了。","据报道，受到立法者和监管机构攻击的 「Twitter」 在周四似乎完全「瘫痪」了。"
W,"Twitter, previously under attack from lawmakers and regulators, appeared to go down altogether on Thursday.","此前受到立法者和监管机构攻击的推特周四似乎完全瘫痪了。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down early on Thursday.","已经受到立法者和监管机构攻击的 Twitter，似乎在周四早些时候出现下滑。",""
N,"Twitter, already under attack from lawmakers and regulators, appeared to go down fast on Thursday.","已经受到立法者和监管机构攻击的 Twitter，周四似乎迅速走下坡路。",""
N,"Twitter, already under attack from lawmakers and regulators, appeared to go down quickly on Thursday.","已经受到立法者和监管机构攻击的 Twitter，周四似乎迅速走下坡路。",""
N; W,"Twitter, already under attack from lawmakers and regulators, appeared to go down rapidly on Thursday.","已经受到立法者和监管机构攻击的 Twitter 似乎在周四迅速下滑。",""
W,"Twitter, already under attack from lawmakers and regulators, appeared to go down first on Thursday.","已经受到立法者和监管机构攻击的推特似乎在周四率先下线。","已经受到立法者和监管机构攻击的推特似乎在周四率先「下线」。"
W,"Twitter, already under attack from lawmakers and regulators, appeared to go down nationwide on Thursday.","已经受到立法者和监管机构攻击的推特周四似乎在全国范围内瘫痪。",""
U; W,"As the nation careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着国家临近选举日，人们开始担心新来源可能会干扰选举：勒索软件。","随着国家临近选举日，「人们开始担心新来源可能会干扰选举【对于可能来自一个新来源的选举干扰的担忧 正在 涌现/沸腾】」：勒索软件。"
U; W,"As the party careens toward election day fears are bubbling up about possible election interference from a new source: ransomware.","随着党内选举日的临近，人们开始担心新来源可能会干扰选举：勒索软件。",""
W,"As the nation careens toward election day threats are bubbling up about possible election interference from a new source: ransomware.","随着国家临近选举日，关于可能来自新来源的选举干扰的威胁正在冒出来：勒索软件。","随着国家临近选举日，关于可能来自新来源的选举干扰的威胁正在「冒出来」：勒索软件。"
U,"As the nation careens toward election day allegations are bubbling up about possible election interference from a new source: ransomware.","随着国家临近选举日，关于可能来自新来源的选举干预的指控不断涌现：勒索软件。","随着国家临近选举日，关于可能来自新来源的选举干预的指控「【正在】不断」涌现：勒索软件。"
U; W,"As the nation careens toward election day fears are bubbling up about future election interference from a new source: ransomware.","随着国家临近选举日，人们越来越担心未来的选举会受到新来源的干扰：勒索软件。","随着国家临近选举日，「人们越来越担心」未来的选举会受到新来源的干扰：勒索软件。"
U; W,"As the nation careens toward election day fears are bubbling up about possible election fraud from a new source: ransomware.","随着国家临近选举日，人们开始担心可能来自新来源的选举舞弊：勒索软件。",""
U; W,"As the nation careens toward election day fears are bubbling up about possible election violence from a new source: ransomware.","随着国家临近选举日，人们开始担心可能来自新来源的选举暴力：勒索软件。",""
U; W,"As the nation careens toward election day fears are bubbling up about possible election interference from a hidden source: ransomware.","随着国家临近选举日，人们开始担心可能会从一个隐藏的来源干扰选举：勒索软件。",""
U; W,"As the nation careens toward election day fears are bubbling up about possible election interference from a secret source: ransomware.","随着国家临近选举日，人们开始担心可能来自秘密来源的选举干扰：勒索软件。",""
U; W,"Mcdonald is putting a new spin on an old favorite as it tries to lure him back during the pandemic.","麦当劳试图在大流行期间引诱他回来，对他的老宠进行了新的尝试。","麦当劳试图在「大流行【病】」期间引诱他回来，【正在】对他的老宠进行了新的尝试。"
W,"Mcdonald is putting a new spin on an American favorite as it tries to lure him back during the pandemic.","麦当劳正在对美国人的最爱进行新的调整，因为它试图在大流行期间引诱他回来。",""
W,"Mcdonald is putting a new spin on an old life as it tries to lure him back during the pandemic.","麦当劳正在为过去的生活注入新的活力，因为它试图在大流行期间引诱他回来。",""
W,"The pandemic has severely disrupted the education and health systems that millions of parents depend on.","大流行严重破坏了数百万父母赖以生存的教育和卫生系统。","「大流行【病】」严重破坏了数百万父母赖以生存的教育和卫生系统。"
W,"The pandemic has severely disrupted the schooling and health systems that millions of parents depend on.","大流行严重破坏了数百万父母赖以生存的学校教育和卫生系统。",""
W,"A hotly-contested case about insurance coverage for small businesses who were unable to trade prior to lockdown heads to the Supreme Court on Monday.","周一，最高法院审理了一起关于在封锁前无法进行交易的小企业的保险范围的激烈争论的案件。","周一，「最高法院审理了一起关于在封锁前无法进行交易的小企业的保险范围的激烈争论的案件【一个关于在封锁前无法交易的小企业的保险赔偿的激烈争论案件将提交最高法院】」。"
W,"A hotly-contested case about insurance coverage for small businesses who were able to trade prior to lockdown heads to the Supreme Court on Monday.","周一，最高法院审理了一个关于在封锁前能够进行交易的小企业的保险范围的激烈争论的案件。",""
