Error category,Source sentence,Target sentence,Reference
O,"There’s something strangely moving about seeing something germinate, flower or even go to seed.","看到某些东西发芽、开花甚至结籽，总有一种奇怪的感动。","看到某些东西发芽、开花甚至结籽，「总」有一种奇怪的感动。"
O; U,"There’s something deeply moving about seeing fruit germinate, flower or even go to seed.","看到水果发芽、开花甚至结籽，总有一些令人感动的事情。","看到水果发芽、开花甚至结籽，「总」有一些「令人【深受】感动的事情」。"
W,"Fame is more easily achievable in a multimedia environment but then again, so is criticism.","在多媒体环境中更容易成名，但话又说回来，批评也是如此。","在多媒体环境中「更容易成名【名声/名望 (是)更容易 获得(的)/更容易获得 名声/名望】」，但话又说回来，批评也是如此。"
W,"Fame is more easily achievable in a multimedia form but then again, so is criticism.","以多媒体形式更容易成名，但话又说回来，批评也是如此。","以多媒体形式更容易「成名」，但话又说回来，批评也是如此。"
W,"Fame is more easily achievable in a multimedia format but then again, so is criticism.","以多媒体形式更容易成名，但话又说回来，批评也是如此。","以多媒体形式更容易「成名」，但话又说回来，批评也是如此。"
U,"I have great love and respect for Tom and for our friends and the lives we had together.","我对汤姆、我们的朋友以及我们一起度过的生活充满爱和尊重。","我对汤姆、我们的朋友以及我们一起度过的生活「充满【深厚的】」爱和尊重。"
L,"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and learn from it with equal brilliance, writes Michael Levine.","迈克尔·莱文 (Michael Levine) 写道，在令人困惑和压倒性的一年中，音乐让我们既能反思世界的现状，又能从中吸取同样的智慧。","迈克尔·莱文 (Michael Levine) 写道，在令人困惑和压倒性的一年中，音乐让我们既能反思世界的现状，又能「从中吸取同样的智慧」。"
W,"We talked about how sometimes in life, your life can get bigger than you had thought possible.","我们谈到在生活中有时候，您的生活会变得比您想象的更广阔。",""
N,"Also this year the BBC announced an organisation-wide voluntary redundancy scheme to help it meet its stringent savings requirements.","同样在今年，BBC 宣布了一项全组织范围内的自愿裁员计划，以帮助其满足严格的储蓄要求。",""
N,"Early this year the BBC announced an organisation-wide voluntary redundancy scheme to help it meet its stringent savings requirements.","今年年初，BBC 宣布了一项全组织范围内的自愿裁员计划，以帮助其满足严格的储蓄要求。",""
N; U,"Also this year the BBC announced an organisation-wide corporate redundancy scheme to help it meet its stringent savings requirements.","今年，BBC 还宣布了一项全组织范围的企业裁员计划，以帮助其满足严格的储蓄要求。","【同样在】今年，BBC 还宣布了一项全组织范围的企业裁员计划，以帮助其满足严格的储蓄要求。"
N,"Also this year the BBC announced an organisation-wide salary redundancy scheme to help it meet its stringent savings requirements.","同样在今年，BBC 宣布了一项全组织范围的薪资裁员计划，以帮助其满足严格的储蓄要求。",""
L,"In the end, people worry that their lips will crack if they don't eat it during this meal.","最后，人们担心如果这顿饭不吃，他们的嘴唇会裂开。","最后，人们担心如果「这顿饭不吃【(在)这顿饭(期间) 不吃它】」，他们的嘴唇会裂开。"
L,"In the film, people worry that their lips will crack if they don't eat it during this meal.","影片中，人们担心如果这顿饭不吃，他们的嘴唇会裂开。","影片中，人们担心如果「这顿饭不吃」，他们的嘴唇会裂开。"
L,"In the evening, people worry that their lips will crack if they don't eat it during this meal.","到了晚上，人们担心如果这顿饭不吃，嘴唇会裂开。","到了晚上，人们担心如果「这顿饭不吃」，嘴唇会裂开。"
W,"Comedian Alex Brooker and others with hand and arm impairments have accused the film of being biased towards disabled people.","喜剧演员亚历克斯布鲁克和其他手和手臂有障碍的人指责这部电影对残疾人有偏见。","喜剧演员亚历克斯布鲁克和其他手和手臂有障碍的人指责这部电影「对残疾人有偏见【偏向残疾人】」。"
W,"Comedian Alex Brooker and others with leg and arm impairments have accused the film of being biased towards disabled people.","喜剧演员亚历克斯布鲁克和其他腿部和手臂有缺陷的人指责这部电影对残疾人有偏见。",""
W,"Comedian Alex Brooker and others with knee and arm impairments have accused the film of being biased towards disabled people.","喜剧演员亚历克斯布鲁克和其他膝盖和手臂有缺陷的人指责这部电影对残疾人有偏见。",""
W,"Comedian Alex Brooker and others with vision and arm impairments have accused the film of being biased towards disabled people.","喜剧演员亚历克斯布鲁克和其他有视力和手臂障碍的人指责这部电影对残疾人有偏见。",""
W,"Comedian Alex Brooker and others with head and arm impairments have accused the film of being biased towards disabled people.","喜剧演员亚历克斯布鲁克和其他头部和手臂有缺陷的人指责这部电影对残疾人有偏见。",""
