Error category,Source sentence,Target sentence,Reference
U,"The state public health authorities and nursing homes have ongoing reservations about the genetic tests.","州公共卫生当局和疗养院对基因检测持保留态度。","州公共卫生当局和疗养院对基因检测持「【持续的】保留态度【/一直持保留态度】」。"
U,"Health care providers see testing as the single most important tool they have in managing the disease.","医疗保健提供者将测试视为他们控制疾病的最重要的工具。","医疗保健提供者将测试视为他们控制疾病的【唯一】最重要的工具。"
U,"Health care providers see testing as the single most valuable tool they have in managing the disease.","医疗保健提供者将测试视为他们在控制疾病方面拥有的最有价值的工具。","医疗保健提供者将测试视为他们在控制疾病方面拥有的【…】最有价值的工具。"
U,"Health care providers see testing as the single most useful tool they have in managing the disease.","医疗保健提供者将测试视为他们在控制疾病方面拥有的最有用的工具。",""
U,"Health care providers see testing as the single most important tool they have in managing the patient.","医疗保健提供者将测试视为他们管理患者时拥有的最重要的工具。",""
U,"Health care providers see testing as the single most important tool they have in managing the system.","医疗保健提供者将测试视为他们在管理系统时拥有的最重要的工具。",""
U,"The proposal is said to be planning legislation which will regulate the movement of staff between airports.","据说该提案是规划立法，将规范机场之间的工作人员流动。","据说该提案「是【正在】」规划立法，将规范机场之间的工作人员流动。"
U,"The result is said to be planning legislation which will regulate the movement of staff between airports.","据说其结果是规划立法，规范机场之间的工作人员流动。",""
W,"To test that magnifier, the researchers identified clusters of gene exons that function differently during fetal development.","为了测试这个放大镜，研究人员确定了在胎儿发育过程中功能不同的基因外显子簇。","为了测试这个放大镜，研究人员确定了在胎儿发育过程中「功能不同【发挥 不同 作用/做不同工作】」的基因外显子簇。"
W,"To test that magnifier, the researchers identified clusters of gene exons that function specifically during fetal development.","为了测试这个放大镜，研究人员确定了在胎儿发育过程中具有特殊功能的基因外显子簇。","为了测试这个放大镜，研究人员确定了在胎儿发育过程中「具有特殊功能【发挥 特别 作用】」的基因外显子簇。"
W,"To test that magnifier, the researchers identified clusters of gene exons that function normally during fetal development.","为了测试这个放大镜，研究人员确定了在胎儿发育过程中功能正常的基因外显子簇。",""
L,"To test that magnifier, the researchers identified clusters of gene exons that function primarily during fetal development.","为了测试这个放大镜，研究人员确定了主要在胎儿发育过程中发挥作用的基因外显子簇。","为了测试这个放大镜，研究人员确定了「主要」在胎儿发育过程中「发挥【主要】作用」的基因外显子簇。"
W,"This could be linked to their physical health or drugs prescribed to mental disorders, the researchers said.","研究人员说，这可能与他们的身体健康或治疗精神障碍的药物有关。","研究人员说，这可能与他们的身体健康或「治疗精神障碍的药物【为精神障碍(疾病)开的药物】」有关。"
W,"This could be linked to their ill health or drugs prescribed to mental disorders, the researchers said.","研究人员说，这可能与他们的健康状况不佳或治疗精神障碍的药物有关。","研究人员说，这可能与他们的健康状况不佳或「治疗精神障碍的」药物有关。"
W,"This could be linked to their poor health or drugs prescribed to mental disorders, the researchers said.","研究人员说，这可能与他们的健康状况不佳或治疗精神障碍的药物有关。","研究人员说，这可能与他们的健康状况不佳或「治疗精神障碍的」药物有关。"
U,"Imagine going to a hospital so small, doctors and nurses with Covid-19 are allowed to keep working.","想象一下去一家如此小的医院，允许患有 Covid-19 的医生和护士继续工作。","想象一下去一家如此小的医院，允许患有 「Covid-19」 的医生和护士继续工作。"
U,"Imagine going to a place so small, doctors and nurses with Covid-19 are allowed to keep working.","想象一下去一个如此小的地方，允许患有 Covid-19 的医生和护士继续工作。",""
U,"Imagine going to a clinic so small, doctors and nurses with Covid-19 are allowed to keep working.","想象一下去一个很小的诊所，允许患有 Covid-19 的医生和护士继续工作。",""
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a large study shows.","一项大型研究表明，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。","一项大型研究表明，牛津大学开发的冠状病毒疫苗在阻止人们出现 「Covid-19」 症状方面非常有效。"
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a recent study shows.","最近的一项研究表明，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。",""
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a large sample shows.","大量样本显示，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。",""
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a large number shows.","大量数据表明，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。",""
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a large population shows.","大量人口表明，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。",""
U,"The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms, a large group shows.","一大群人表示，牛津大学开发的冠状病毒疫苗在阻止人们出现 Covid-19 症状方面非常有效。",""
U,"The goal is to popularize knowledge about how to eat properly and improve the life quality of the patients.","目的是普及正确饮食知识，提高患者生活质量。","目的是普及「【(有关/关于)如何】正确饮食【的】」知识，提高患者生活质量。"
U,"The aim is to popularize knowledge about how to eat properly and improve the life quality of the patients.","旨在普及正确饮食知识，提高患者生活质量。",""
U,"The idea is to popularize knowledge about how to eat properly and improve the life quality of the patients.","旨在普及正确饮食知识，提高患者生活质量。",""
U,"The intention is to popularize knowledge about how to eat properly and improve the life quality of the patients.","旨在普及正确饮食知识，提高患者生活质量。",""
U,"The coronavirus tests will be offered to close contacts of people who have tested positive in England, as a way to reduce the required 14-day quarantine.","冠状病毒检测将提供给在英格兰检测呈阳性的人的密切接触者，以减少所需的 14 天隔离期。","冠状病毒检测将提供给在英格兰检测呈阳性的人的密切接触者，「以减少所需的 14 天隔离期【(以此)作为减少所需的 14 天隔离期的一种方式】」。"
W,"Fluid from a nasal swab or saliva goes on one end, then a marking begins if you are positive.","来自鼻拭子或唾液的液体流向一端，如果您呈阳性，则开始做标记。","来自鼻拭子或唾液的液体「流向一端【在一端流出】」，如果您呈阳性，则开始做标记。"
W,"Fluid from a nasal swab or saliva goes on one end, then a test begins if you are positive.","来自鼻拭子或唾液的液体流向一端，如果您呈阳性，则测试开始。",""
W,"Fluid from a nasal swab or saliva goes on one end, then a pulse begins if you are positive.","来自鼻拭子或唾液的液体流向一端，如果您呈阳性，则脉搏开始。",""
L; W,"This means care providers are allocated a certain type of equipment based on the number of people they look after.","这意味着护理人员会根据他们照顾的人数分配某种类型的设备。","这意味着护理「人员【提供者】」会根据他们照顾的人数【被】分配某种类型的设备。"
L,"This means care professionals are allocated a certain type of equipment based on the number of people they look after.","这意味着护理专业人员会根据他们照顾的人数分配某种类型的设备。","这意味着护理专业人员会根据他们照顾的人数【被】分配某种类型的设备。"
L; W,"This means care providers are allocated a specific type of equipment based on the number of people they look after.","这意味着护理人员会根据他们所照顾的人数分配特定类型的设备。",""
L,"This means care providers are allocated a single type of equipment based on the number of people they look after.","这意味着护理提供者会根据他们照顾的人数分配单一类型的设备。",""
L,"This means care providers are allocated a special type of equipment based on the number of people they look after.","这意味着护理提供者会根据他们照顾的人数分配一种特殊类型的设备。",""
W,"This means care providers are allocated a certain type of equipment based on the percentage of people they look after.","这意味着护理人员会根据他们所照顾的人数百分比分配某种类型的设备。",""
L; U,"We have more confidence that our staff are indeed Covid free or that they are out and not as residents.","我们更有信心我们的员工确实没有 Covid，或者他们外出而不是居民。","我们更有信心我们的员工确实没有 「Covid」，或者他们外出而不是【作为】居民。"
L,"We have more evidence that our staff are indeed Covid free or that they are out and not as residents.","我们有更多证据表明我们的员工确实没有感染新冠病毒，或者他们外出而不是居民。","我们有更多证据表明我们的员工确实没有感染新冠病毒，或者他们外出而不是【作为】居民。"
L,"We have more proof that our staff are indeed Covid free or that they are out and not as residents.","我们有更多证据表明我们的员工确实没有感染新冠病毒，或者他们外出而不是居民。",""
L,"We have more assurance that our staff are indeed Covid free or that they are out and not as residents.","我们更有把握确保我们的员工确实没有感染新冠病毒，或者他们外出而不是居民。",""
L,"We have more doubt that our staff are indeed Covid free or that they are out and not as residents.","我们更怀疑我们的员工是否确实没有新冠病毒，或者他们外出而不是居民。",""
L; U,"We have more hope that our staff are indeed Covid free or that they are out and not as residents.","我们更希望我们的员工确实没有 Covid，或者他们外出而不是居民。",""
L,"We have more confidence that our staff are currently Covid free or that they are out and not as residents.","我们更有信心我们的员工目前没有新冠病毒，或者他们外出而不是居民。",""
L; O,"We have more confidence that our staff are indeed Covid free or that they are out and not as suspects.","我们更有信心我们的员工确实没有感染新冠病毒，或者他们已经外出而不是嫌疑人。","我们更有信心我们的员工确实没有感染新冠病毒，或者他们「已经」外出而不是【作为】嫌疑人。"
W,"Some have called for more isolation, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the compliance.","一些人呼吁加强隔离，认为由于合规性，较短的隔离时间将更有效地控制病毒的传播。","一些人呼吁「加强【(进行)更多的】」隔离，认为由于合规性，较短的隔离时间将更有效地控制病毒的传播。"
W,"Some have called for more isolation, arguing a longer isolation will be more effective in controlling the spread of the virus because of the compliance.","一些人呼吁加强隔离，认为更长的隔离时间会更有效地控制病毒的传播，因为这是合规的。","一些人呼吁「加强」隔离，认为更长的隔离时间会更有效地控制病毒的传播，因为这是合规的。"
W,"Some have called for more isolation, arguing a shorter time will be more effective in controlling the spread of the virus because of the compliance.","一些人呼吁加强隔离，认为由于合规性，较短的时间将更有效地控制病毒的传播。","一些人呼吁「加强」隔离，认为由于合规性，较短的时间将更有效地控制病毒的传播。"
W,"Some have called for more isolation, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the isolation.","一些人呼吁加强隔离，认为由于隔离，缩短隔离时间会更有效地控制病毒的传播。","一些人呼吁「加强」隔离，认为由于隔离，「缩短隔离时间」会更有效地控制病毒的传播。"
O; W,"Some have called for more isolation, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the distance.","一些人呼吁加强隔离，认为由于距离较短，隔离时间较短会更有效地控制病毒的传播。","一些人呼吁「加强」隔离，认为由于距离「较短」，隔离时间较短会更有效地控制病毒的传播。"
W,"Some have called for more isolation, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the proximity.","一些人呼吁加强隔离，认为由于距离较近，缩短隔离时间将更有效地控制病毒的传播。","一些人呼吁「加强」隔离，认为由于距离较近，「缩短隔离时间」将更有效地控制病毒的传播。"
O; W,"About 3. 9 million cases of cancer are diagnosed in China each year, and about 2. 3 million people die of the disease.","中国每年诊断出约 3. 900 万例癌症病例，约有 2. 300 万人死于该病。","中国每年诊断出约「 3. 900 万【390万】」例癌症「病例」，约有「 2. 300 万【230万】」人死于该病。"
W,"About 3. 9 million cases of cancer are diagnosed in India each year, and about 2. 3 million people die of the disease.","印度每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。","印度每年诊断出约 「3. 900 万」例癌症，约 「2. 300 万」人死于该病。"
W,"About 3. 9 million cases of cancer are diagnosed in Japan each year, and about 2. 3 million people die of the disease.","日本每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in France each year, and about 2. 3 million people die of the disease.","法国每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Brazil each year, and about 2. 3 million people die of the disease.","巴西每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Sweden each year, and about 2. 3 million people die of the disease.","瑞典每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Europe each year, and about 2. 3 million people die of the disease.","欧洲每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Mexico each year, and about 2. 3 million people die of the disease.","墨西哥每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Italy each year, and about 2. 3 million people die of the disease.","意大利每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
W,"About 3. 9 million cases of cancer are diagnosed in Portugal each year, and about 2. 3 million people die of the disease.","葡萄牙每年诊断出约 3. 900 万例癌症，约 2. 300 万人死于该病。",""
L; W,"Scientists suspect the virus spreads in mink coats through infectious diseases, on feed or bedding, or in bags containing droppings.","科学家怀疑病毒通过传染病在貂皮大衣、饲料或床上用品或装有粪便的袋子中传播。","科学家怀疑病毒通过传染病「在貂皮大衣」、饲料或「床上用品【垫料/垫草】」或装有粪便的袋子【在貂皮大衣】中传播。"
L,"Scientists suspect the virus spreads in mink farms through bacterial diseases, on feed or bedding, or in bags containing droppings.","科学家怀疑这种病毒通过细菌性疾病在水貂养殖场、饲料或垫料上或装有粪便的袋子中传播。","科学家怀疑这种病毒通过细菌性疾病「在水貂养殖场」、饲料或垫料上或装有粪便的袋子【在水貂养殖场】中传播。"
L,"Scientists suspect the virus spreads in mink farms through viral diseases, on feed or bedding, or in bags containing droppings.","科学家怀疑该病毒通过病毒性疾病在水貂养殖场、饲料或垫料上或装粪便的袋子中传播。",""
L; W,"Scientists suspect the virus spreads in mink farms through infectious bacteria, on feed or bedding, or in bags containing droppings.","科学家怀疑这种病毒通过传染性细菌在水貂养殖场、饲料或床上用品或装有粪便的袋子中传播。",""
L,"Scientists suspect the virus spreads in mink farms through infectious vectors, on feed or bedding, or in bags containing droppings.","科学家怀疑该病毒通过传染性载体在水貂养殖场、饲料或垫料上或装有粪便的袋子中传播。",""
