Error category,Source sentence,Target sentence,Reference
L,"The government condemned the move accusing the leaders of treason for supporting a parallel administration.","政府谴责此举，指责领导人支持平行管理的叛国罪。","政府谴责「此举，指责领导人支持平行管理的叛国罪【指责领导人支持平行政府的叛国的行为】」。"
L,"The opposition condemned the move accusing the leaders of treason for supporting a parallel administration.","反对派谴责此举，指责领导人支持平行政府的叛国罪。",""
L,"The government condemned the move accusing the leaders of corruption for supporting a parallel administration.","政府谴责指责腐败领导人支持平行行政的举动。","政府谴责指责「腐败」领导人支持平行行政【的腐败】的举动。"
L,"The government condemned the move accusing the leaders of failure for supporting a parallel administration.","政府谴责此举，指责领导人支持平行行政管理失败。",""
L,"The government condemned the move accusing the leaders of terrorism for supporting a parallel administration.","政府谴责指责恐怖主义领导人支持平行行政的举动。",""
L,"The government condemned the move accusing the leaders of independence for supporting a parallel administration.","政府谴责这一举动，指责独立领导人支持平行管理。",""
L,"The government condemned the move accusing the leaders of violence for supporting a parallel administration.","政府谴责这一举动，指责暴力领导人支持平行行政。",""
L,"The government condemned the move accusing the leaders of treason for supporting a weak administration.","政府谴责此举，指责领导人支持软弱的政府叛国。",""
L,"The government condemned the move accusing the leaders of treason for supporting a civilian administration.","政府谴责此举，指责领导人支持文职政府叛国。",""
L,"The government condemned the move accusing the leaders of treason for supporting a parallel government.","政府谴责此举，指责领导人支持平行政府是叛国罪。",""
L,"The government condemned the move accusing the leaders of treason for supporting a parallel monarchy.","政府谴责此举，指责领导人支持平行君主制是叛国罪。",""
U,"According to the education department, secondary and tertiary schools are expected to reopen in November.","据教育部门称，中学和高等学校预计将于 11 月开学。","据教育部门称，中学和高等学校预计将于 11 月【重新】开学。"
U,"According to the education ministry, secondary and middle schools are expected to reopen in November.","据教育部称，预计中学将于 11 月重新开学。","据教育部称，预计中学【和初中】将于 11 月重新开学。"
L,"Half a dozen women were among the victims for which the Islamic State front has claimed responsibility.","六名妇女是伊斯兰国阵线声称对此事负责的受害者。","六名妇女「是伊斯兰国阵线声称对此事负责的受害者【是伊斯兰国阵线声称负责的受害者中的】」。"
L,"Half a dozen families were among the victims for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对六个家庭的遇难者负责。","伊斯兰国阵线声称「对六个家庭的遇难者负责」。"
L,"Half a dozen others were among the victims for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对其他六名受害者负责。",""
L; U,"Half a dozen individuals were among the victims for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对六名受害者负责。",""
L,"Half a dozen women were among the deaths for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对六名妇女的死亡负责。",""
L,"Half a dozen women were among the fatalities for which the Islamic State front has claimed responsibility.","伊斯兰国阵线声称对六名妇女的死亡负责。",""
W,"Without the March relief package, the interest rates would have been higher over the last seven years.","如果没有 3 月份的救助计划，过去七年的利率本来会更高。","如果没有 3 月份的【…】救助计划，过去七年的利率本来会更高。"
L,"The ministers renewed the process of new fiscal policy, which was disrupted by the pandemic early this year.","部长们重新启动了新的财政政策进程，该进程在今年年初因大流行病而中断。","部长们重新启动了新的财政政策进程，该「进程【政策】」在今年年初因大流行病而中断。"
L,"The ministers renewed the discussion of new fiscal policy, which was disrupted by the pandemic early this morning.","部长们重新讨论了新的财政政策，这一讨论在今天清晨因大流行病而中断。",""
L,"The ministers renewed the discussion of new fiscal policy, which was disrupted by the pandemic early this day.","部长们重新讨论了新的财政政策，这一讨论在今天早些时候因大流行病而中断。",""
O; W,"Steven Kennedy, the defense secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","美国国防部长史蒂文·肯尼迪在最近的一次演讲中敦促政府降低联邦刺激计划的门槛。","「美国」国防部长史蒂文·肯尼迪「在最近的一次演讲中【利用最近的演讲】」敦促政府降低联邦刺激计划的门槛。"
W,"Ted Kennedy, the defense secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","国防部长泰德·肯尼迪 (Ted Kennedy) 最近发表讲话，敦促政府降低联邦刺激计划的门槛。","国防部长泰德·肯尼迪 (Ted Kennedy) 「最近发表讲话」，敦促政府降低联邦刺激计划的门槛。"
W,"Anthony Kennedy, the defense secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","国防部长安东尼·肯尼迪 (Anthony Kennedy) 最近发表讲话，敦促政府降低联邦刺激计划的门槛。",""
W,"John Kennedy, the defense secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","国防部长约翰肯尼迪最近发表讲话，敦促政府降低联邦刺激计划的门槛。",""
O; W,"Steven Chu, the defense secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","美国国防部长朱棣文最近发表讲话，敦促政府降低联邦刺激计划的门槛。",""
W,"Steven Kennedy, the treasury secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","财政部长史蒂文·肯尼迪 (Steven Kennedy) 最近发表讲话，敦促政府降低联邦刺激计划的门槛。",""
W,"Steven Kennedy, the budget secretary, used a recent speech to urge the government to lower the threshold for federal stimulus.","预算部长史蒂文·肯尼迪(Steven Kennedy)最近发表讲话，敦促政府降低联邦刺激计划的门槛。",""
W,"Steven Kennedy, the defense secretary, used a televised speech to urge the government to lower the threshold for federal stimulus.","国防部长史蒂文肯尼迪通过电视讲话敦促政府降低联邦刺激计划的门槛。","国防部长史蒂文肯尼迪「通过【利用】」电视讲话敦促政府降低联邦刺激计划的门槛。"
