Error category,Source sentence,Target sentence,Reference
U,"People in the surrounding area cannot conduct any close contact with those having hair in other colors.","周边地区人员不得与其他颜色头发的人员进行近距离接触。","周边地区人员不得与其他颜色头发的人员进行【任何】近距离接触。"
U,"People in the surrounding community cannot conduct any close contact with those having hair in other colors.","周边社区人员不得与其他颜色头发的人员进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having clothing in other colors.","周边地区人员不得与身穿其他颜色衣服的人员进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other areas.","周边地区人员不得与其他地区有头发者进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other places.","周边地区人员不得与其他地方有毛发的人员进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other regions.","周边地区人员不得与其他地区有头发者进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other locations.","周边地区人员不得与其他地方有毛发的人员进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other countries.","周边地区人员不能与其他国家有头发者进行近距离接触。",""
U,"People in the surrounding area cannot conduct any close contact with those having hair in other directions.","周边地区人员不得与其他方向有头发的人员进行近距离接触。",""
U,"Theo Walcott said he ""feels like a kid again"" after scoring his first try since joining Southampton in their Premier League game at Wolves.","西奥·沃尔科特说，自从加盟南安普顿以来，他在对阵狼队的英超联赛中首次射门得分后，他“感觉又像个孩子了”。","西奥·沃尔科特说，自从加盟南安普顿以来，他在对阵狼队的英超联赛中首次【尝试】射门得分后，他“感觉又像个孩子了”。"
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Leeds in their Premier League game at Wolves.","西奥·沃尔科特在加盟利兹联对阵狼队的英超联赛中首次射门得分后表示，他“感觉自己又像个孩子了”。","西奥·沃尔科特在加盟利兹联对阵狼队的英超联赛中首次【…】射门得分后表示，他“感觉自己又像个孩子了”。"
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Huddersfield in their Premier League game at Wolves.","西奥·沃尔科特在加盟哈德斯菲尔德后首次射门得分后表示，他“感觉自己又像个孩子了”。","西奥·沃尔科特在加盟哈德斯菲尔德后【…】首次【…】射门得分后表示，他“感觉自己又像个孩子了”。"
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Arsenal in their Premier League game at Wolves.","西奥·沃尔科特在加盟阿森纳后首次射门得分后表示，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their First League game at Wolves.","西奥·沃尔科特说，自从加盟南安普顿队在狼队的第一场联赛中首次射门得分后，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Europa League game at Wolves.","西奥·沃尔科特说，自从加盟南安普顿队与狼队的欧联杯比赛后，他第一次射门得分后，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League clash at Wolves.","西奥·沃尔科特表示，自从加盟南安普顿以来，他在与狼队的英超联赛中首次射门得分后，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League victory at Wolves.","西奥·沃尔科特在加盟南安普顿并在英超联赛中击败狼队后首次射门得分后表示，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League defeat at Wolves.","西奥·沃尔科特在加盟南安普顿后首次射门得分后表示，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League win at Wolves.","西奥·沃尔科特在加盟南安普顿并在英超联赛中击败狼队后首次射门得分后表示，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League encounter at Wolves.","西奥沃尔科特说，他在加盟南安普顿后的第一次射门得分后“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League debut at Wolves.","西奥·沃尔科特表示，自从加盟南安普顿以来首次射门得分后，他“感觉自己又像个孩子了”",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Newcastle.","西奥·沃尔科特说，自从加盟南安普顿队在纽卡斯尔的英超联赛中首次射门得分后，他“感觉又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Huddersfield.","西奥·沃尔科特表示，自从加盟南安普顿队在哈德斯菲尔德的英超联赛中首次射门得分后，他“感觉自己又像个孩子了”。",""
U,"Theo Walcott said he "" feels like a kid again "" after scoring his first try since joining Southampton in their Premier League game at Chelsea.","西奥沃尔科特说，他在加盟南安普顿后的第一次射门得分后“感觉自己又像个孩子了”。",""
W,"Balancing a career in professional wrestling with being a social media sensation is a tightrope to me.","平衡职业摔跤的职业生涯和社交媒体的轰动对我来说是一个走钢丝。","平衡职业摔跤的职业生涯和「社交媒体的轰动【成为 引起社交媒轰动的人/社交媒体红人】」对我来说「是一个走钢丝【像走钢丝一样】」。"
W,"Balancing a career in professional hockey with being a social media sensation is a tightrope to me.","平衡职业曲棍球的职业生涯和社交媒体的轰动对我来说是一个走钢丝。",""
W,"Balancing a career in professional sport with being a national media sensation is a tightrope to me.","平衡职业体育事业和成为全国媒体的轰动对我来说是一条钢丝。",""
W,"Balancing a career in professional sport with being a global media sensation is a tightrope to me.","平衡职业体育事业和成为全球媒体的轰动对我来说就像走钢丝。",""
W,"Balancing a career in professional sport with being a local media sensation is a tightrope to me.","平衡职业体育事业和成为当地媒体的轰动对我来说是一个走钢丝。",""
W,"Balancing a career in professional sport with being a major media sensation is a tightrope to me.","平衡职业体育事业和成为主要媒体的轰动对我来说是一个走钢丝。",""
W,"Balancing a career in professional sport with being a popular media sensation is a tightrope to me.","平衡职业体育事业和成为大众媒体的轰动对我来说就像走钢丝一样。",""
W,"Balancing a career in professional sport with being a worldwide media sensation is a tightrope to me.","平衡职业体育事业和成为全球媒体的轰动对我来说是一条钢丝。",""
W,"Balancing a career in professional sport with being a new media sensation is a tightrope to me.","平衡职业体育事业和成为新媒体的轰动对我来说就像走钢丝一样。",""
U,"Prior to the COVID-19 pandemic, the event was staged behind closed doors and was an all-domestic field.","在 COVID-19 大流行之前，该活动是闭门举行的，并且是一个全国内的领域。","在「 COVID-19 」大流行之前，该活动是闭门举行的，并且是一个全国内的领域。"
U; W,"Prior to the COVID-19 pandemic, the event was staged behind closed gates and was an all-domestic field.","在 COVID-19 大流行之前，该活动是在封闭的大门后举行的，并且是一个全国内的领域。","在 「COVID-19」 大流行之前，该活动是「在封闭的大门后【闭门】」举行的，并且是一个全国内的领域。"
U,"Prior to the COVID-19 pandemic, the event was staged behind closed curtains and was an all-domestic field.","在 COVID-19 大流行之前，该活动是在幕后举行的，并且是一个全国内的领域。",""
L,"Throughout the group and classification stages, teams stayed in designated hotels where frequent medical testing was conducted.","在整个小组和分类阶段，团队都住在指定的酒店，在那里进行频繁的体检。","在整个小组和分类阶段，团队都住在【频繁进行体检的】指定的酒店，「在那里进行频繁的体检」。"
L,"Throughout the group and knockout stages, teams stayed in designated locations where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，各队都留在指定地点进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated facilities where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都呆在指定的设施中，在那里进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated places where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，各队都留在指定地点进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated venues where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都待在指定的场地进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated camps where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都留在指定的营地，在那里进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated spots where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都待在指定地点进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated zones where frequent medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都呆在指定区域，在那里进行频繁的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where regular medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，在那里进行定期的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where routine medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，在那里进行了例行的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where mandatory medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，在那里进行强制性体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where additional medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，在那里进行了额外的体检。",""
L,"Throughout the group and knockout stages, teams stayed in designated hotels where periodic medical testing was conducted.","在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，定期进行体检。",""
U; W,"The lockdown accelerated things because I was doing a bit more streaming online and getting more into it.","锁定加速了事情的进行，因为我在网上做了更多的流媒体并投入其中。","「锁定【封锁】」加速了事情的进行，因为我【正】在网上做了更多的流媒体并【更加】投入其中。"
U,"The lockdown accelerated things because I was doing a bit more surfing online and getting more into it.","封锁加速了事情的进行，因为我在网上冲浪的次数多了一点，也更加投入其中。",""
W,"The lockdown accelerated things because I was doing a bit more streaming stuff and getting more into it.","锁定加速了事情的进行，因为我正在做更多的流媒体内容并且更多地投入其中。",""
U,"The launch of the 100-ball competition this year was postponed by a month because of the flu pandemic.","由于流感大流行，今年的 100 球比赛推迟了一个月。","由于流感大流行，今年的 100 球比赛【的举行】推迟了一个月。"
N,"George McIlroy and his caddie Harry Diamond used to have a bet with each other during practice sessions.","George McIlroy 和他的球童 Harry Diamond 曾经在练习赛期间互相打赌。","「George McIlroy」 和他的球童 「Harry Diamond」 曾经在练习赛期间互相打赌。"
U,"Rory McIlroy and his caddie Harry Diamond used to have a feud with each other during practice sessions.","罗里·麦克罗伊 (Rory McIlroy) 和他的球童哈里·戴蒙德 (Harry Diamond) 过去常常在练习赛中发生争执。","罗里·麦克罗伊 (Rory McIlroy) 和他的球童哈里·戴蒙德 (Harry Diamond) 过去常常在练习赛中【与对方】发生争执。"
U,"Rory McIlroy and his caddie Harry Diamond used to have a problem with each other during practice sessions.","罗里·麦克罗伊和他的球童哈里·戴蒙德过去常常在练习赛中发生争执。",""
U,"Rory McIlroy and his caddie Harry Diamond used to have a dispute with each other during practice sessions.","罗里·麦克罗伊和他的球童哈里·戴蒙德过去常常在练习赛中发生争执。",""
U,"Rory McIlroy and his caddie Harry Diamond used to have a disagreement with each other during practice sessions.","罗里·麦克罗伊 (Rory McIlroy) 和他的球童哈里·戴蒙德 (Harry Diamond) 过去常常在练习赛中发生争执。",""
O; W,"Unbeaten Chinese boxer Zhang Zhilei produced a Hollywood finish for his first fight in nearly a decade on Saturday night.","周六晚上，保持不败的中国拳击手张志磊在近十年来的第一场比赛中取得了好莱坞式的成绩。","周六晚上，「保持」不败的中国拳击手张志磊在近十年来的第一场比赛中取得了好莱坞式的「成绩【结局】」。"
L,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first medal in nearly a decade on Saturday night.","周六晚上，不败的中国拳击手张志磊在好莱坞完成了他近十年来的第一枚奖牌。","周六晚上，不败的中国拳击手张志磊「在好莱坞完成了他近十年来的第一枚奖牌」。"
O,"Unbeaten Chinese fighter Zhang Zhilei produced a Hollywood finish for his first belt in nearly a decade on Saturday night.","周六晚上，不败的中国拳击手张志磊为他近十年来的第一条金腰带完成了好莱坞式的收官。","周六晚上，不败的中国拳击手张志磊为他近十年来的第一条「金」腰带完成了好莱坞式的收官。"
U,"There were times I could just hear the echo of my footsteps out there because I was running completely alone.","有时我只能听到我脚步声的回声，因为我完全是一个人在跑。","有时我只能听到【外面】我脚步声的回声，因为我完全是一个人在跑。"
U,"There were times I could just hear the sound of my footsteps out there because I was running completely alone.","有时我只能听到我的脚步声，因为我完全是一个人在跑。",""
U,"There were times I could just hear the thud of my footsteps out there because I was running completely alone.","有时我只能听到我的脚步声，因为我完全是一个人在跑。",""
U,"There were times I could just hear the thump of my footsteps out there because I was running completely alone.","有时我只能听到我的脚步声，因为我完全是一个人在跑。",""
U,"There were times I could just hear the click of my footsteps out there because I was running completely alone.","有时我只能听到脚步声，因为我完全是一个人在跑。",""
U,"There were times I could just hear the pounding of my footsteps out there because I was running completely alone.","有时我只能听到我的脚步声，因为我完全是一个人在跑。",""
U,"On Monday morning after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期一早上从休斯敦开车回来后，我开始感到喉咙痛和头痛。","星期一早上从休斯敦开车回来后，我开始感到【有点】喉咙痛和头痛。"
U,"On Friday morning after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期五早上从休斯敦开车回来后，我开始感到喉咙痛和头痛。",""
U,"On Saturday night after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期六晚上从休斯敦开车回来后，我开始感到喉咙痛和头痛。",""
U,"On Saturday afternoon after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期六下午从休斯敦开车回来后，我开始感到喉咙痛和头痛。",""
U,"On Saturday evening after driving back from Houston, I started feeling a bit of a sore throat and a headache.","星期六晚上从休斯敦开车回来后，我开始感到喉咙痛和头痛。",""
U,"On Saturday morning after driving back from Houston, I started feeling a combination of a sore throat and a headache.","星期六早上从休斯敦开车回来后，我开始感到喉咙痛和头痛。","星期六早上从休斯敦开车回来后，我开始感到【组合的】喉咙痛和头痛。"
U,"On Saturday morning after driving back from Houston, I started feeling a mixture of a sore throat and a headache.","星期六早上从休斯敦开车回来后，我开始感到喉咙痛和头痛。","星期六早上从休斯敦开车回来后，我开始感到【混合的】喉咙痛和头痛。"
L,"He performed really well in the second camp, so that is a given but we have got it in depth.","他在第二场训练营中表现非常出色，这是理所当然的，但我们已经深入了解了。","他在第二场训练营中表现非常出色，【所以】这是理所当然的，但我们已经深入了解了。"
O,"We just carry on and focus on the next moment, the next game and that's what we are doing.","我们只是继续前进，专注于下一刻，下一场比赛，这就是我们正在做的。","我们只是继续「前进」，专注于下一刻，下一场比赛，这就是我们正在做的。"
W,"We just carry on and focus on the next game, the big game and that's what we are doing.","我们只是继续并专注于下一场比赛，一场重要的比赛，这就是我们正在做的事情。","我们只是继续并专注于下一场比赛，一场「重要【大型】」的比赛，这就是我们正在做的事情。"
W,"She will for the first time next February at a training camp where the initial squad will start to be cut.","明年 2 月，她将首次参加训练营，届时将开始裁减初始阵容。","明年 2 月，她将首次参加训练营，「届时」将开始裁减初始阵容。"
W,"She will for the first time next February at a training camp where the entire squad will start to be cut.","明年 2 月，她将第一次参加训练营，届时将开始裁减整个阵容。",""
W,"She will for the first time next February at a training camp where the Russian squad will start to be cut.","明年 2 月，她将首次参加训练营，届时俄罗斯队的阵容将开始缩减。",""
W,"She will for the first time next February at a training camp where the initial roster will start to be cut.","明年 2 月，她将首次参加训练营，届时初始名单将开始缩减。",""
U,"With all the previous and previous knockout matches played behind closed door, tickets for the final were in extremely hot demand.","由于之前和之前的淘汰赛都是闭门进行，因此决赛的门票非常抢手。","由于之前和之前的【所有】淘汰赛都是闭门进行，因此决赛的门票非常抢手。"
W,"With all the current and former knockout matches played behind closed door, tickets for the final were in extremely hot demand.","由于所有当前和以前的淘汰赛都是空场进行的，因此决赛门票的需求量非常大。","由于所有当前和以前的淘汰赛都是「空场【闭门】」进行的，因此决赛门票的需求量非常大。"
U,"With all the current and previous league matches played behind closed door, tickets for the final were in extremely hot demand.","由于本届联赛和之前的联赛都是闭门进行，因此决赛的门票非常抢手。",""
W,"With all the current and previous championship matches played behind closed door, tickets for the final were in extremely hot demand.","由于所有当前和之前的冠军赛都是空场进行的，因此决赛门票的需求量非常大。",""
W,"With all the current and previous knockout matches played behind closed door, fans for the final were in extremely hot demand.","由于所有当前和之前的淘汰赛都是空场进行的，因此决赛的球迷需求非常旺盛。",""
W,"With all the current and previous knockout matches played behind closed door, matches for the final were in extremely hot demand.","由于当前和之前的所有淘汰赛都是空场进行的，因此对决赛的比赛需求非常旺盛。",""
W,"With all the current and previous knockout matches played behind closed door, players for the final were in extremely hot demand.","由于当前和之前的所有淘汰赛都是空场进行的，因此对决赛球员的需求非常旺盛。",""
U,"With all the current and previous knockout matches played behind closed door, tickets for the final were in extremely hot water.","由于所有当前和之前的淘汰赛都是闭门进行的，因此决赛的门票非常热。","由于所有当前和之前的淘汰赛都是闭门进行的，因此决赛的门票【在】非常热【的水中】。"
U,"With all the current and previous knockout matches played behind closed door, tickets for the final were in extremely hot weather.","由于目前和之前的所有淘汰赛都是闭门进行的，因此决赛的门票是在酷热的天气下进行的。","由于目前和之前的所有淘汰赛都是闭门进行的，因此决赛的门票是在【极其】酷热的天气下进行的。"
U,"With all the current and previous knockout matches played behind closed door, tickets for the final were in extremely hot stock.","由于所有当前和之前的淘汰赛都是闭门进行的，因此决赛的门票非常抢手。","由于所有当前和之前的淘汰赛都是闭门进行的，因此决赛的门票【库存】非常抢手。"
U; W,"He rented two houses for the sake of the championship, moving between the two so nobody would know where he was.","为了总冠军，他租了两间房子，在两间房子之间穿梭，这样就没人知道他在哪里。","为了总冠军【的利益】，他租了两间房子，在两间房子之间「穿梭【搬来搬去】」，这样就没人知道他在哪里。"
W,"Salford announced that nothing has now been agreed between all parties and have started the arbitration process for a new head coach.","索尔福德宣布，各方目前尚未达成任何协议，并已启动新主教练的仲裁程序。","索尔福德宣布，各方目前尚未达成任何「协议」，并已启动新主教练的仲裁程序。"
U,"Salford announced that something has now been agreed between all parties and have started the arbitration process for a new head coach.","索尔福德宣布，各方现已达成一致，并已启动新主教练的仲裁程序。","索尔福德宣布，各方现已【就某些事情】达成一致，并已启动新主教练的仲裁程序。"
L,"The horse received immediate veterinary care, however he was unable to be treated due to the severity of the injuries sustained.","这匹马立即接受了兽医护理，但由于伤势严重，无法接受治疗。","这匹马立即接受了兽医护理，但由于「伤势严重【所受伤害的严重性】」，无法接受治疗。"
L; W,"The horse received immediate veterinary care, however he was unable to be treated due to the extent of the injuries sustained.","这匹马立即接受了兽医护理，但由于受伤严重，无法接受治疗。","这匹马立即接受了兽医护理，但由于「受伤严重【所受伤害的程度】」，无法接受治疗。"
W,"I know his trip wasn't the easiest one, whereas I have to say my season has actually been going quite well.","我知道他的旅程并不轻松，但我不得不说我的赛季实际上进展顺利。","我知道他的旅程并不【最】轻松，但我不得不说我的赛季实际上进展顺利。"
W,"I know his visit wasn't the easiest one, whereas I have to say my season has actually been going quite well.","我知道他的来访并不轻松，但我不得不说我的赛季实际上进展顺利。",""
W,"I know his campaign wasn't the easiest one, whereas I have to say my season has actually been going quite well.","我知道他的竞选活动并不轻松，但我不得不说我的赛季实际上进展顺利。",""
W,"I know his life wasn't the easiest one, whereas I have to say my season has actually been going quite well.","我知道他的生活并不轻松，但我不得不说我的赛季实际上进展顺利。",""
W,"I know his season wasn't the easiest one, whereas I have to say my career has actually been going quite well.","我知道他的赛季并不轻松，但我不得不说我的职业生涯实际上进展顺利。",""
W,"I know his season wasn't the easiest one, whereas I have to say my life has actually been going quite well.","我知道他的赛季并不轻松，但我不得不说我的生活实际上一直很顺利。",""
N,"I just need an opportunity to become the best in the world, which I do believe that Matchroom is able to provide.","我只需要一个机会成为世界上最好的，我相信 Matchroom 能够提供。","我只需要一个机会成为世界上最好的，我相信「 Matchroom 」能够提供。"
N,"I just need an opportunity to become the greatest in the world, which I do believe that Matchroom is able to provide.","我只需要一个成为世界上最伟大的人的机会，我相信 Matchroom 能够提供。",""
N,"I just need an opportunity to become the best in the business, which I do believe that Matchroom is able to provide.","我只需要一个成为业内最佳的机会，我相信 Matchroom 能够提供。",""
N,"I just need an opportunity to become the best in the industry, which I do believe that Matchroom is able to provide.","我只需要一个成为行业最佳的机会，我相信 Matchroom 能够提供。",""
N,"I just need an opportunity to become the best in the world, which I do believe that Matchroom is unable to provide.","我只是需要一个成为世界第一的机会，我相信 Matchroom 无法提供。",""
W,"The Champions League returns after a three-week break as we hit the business end of the group stages.","欧冠联赛在休息三周后回归，小组赛进入尾声。","【在我们进入小组赛的关键时期，】「欧冠【冠军】」联赛在休息三周后回归「，小组赛进入尾声」。"
