Error category,Source sentence,Target sentence,Reference
U,"Northwest China stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，中国西北地区成为一个旅游目的地。","自从 「COVID-19」 再次受到控制以来，中国西北地区「【脱颖而出】成为一个旅游目的地【/(就)作为一个旅游目的地(而)脱颖而出】」。"
U; W,"Northwest Georgia stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，佐治亚州西北部就成为了一个引人注目的旅游目的地。","自从 「COVID-19」 再次受到控制以来，佐治亚州西北部就成为了一个「引人注目的」旅游目的地。"
U; W,"Northwest Virginia stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，弗吉尼亚西北部就成为了一个引人注目的旅游目的地。",""
U; W,"Northwest Ohio stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，俄亥俄州西北部就成为了一个引人注目的旅游目的地。",""
U; W,"Northwest Arkansas stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，阿肯色州西北部成为了一个引人注目的旅游目的地。",""
U; W,"Northwest Florida stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，佛罗里达州西北部就成为了一个引人注目的旅游目的地。",""
U; W,"Northwest Alaska stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，阿拉斯加西北部成为了一个引人注目的旅游目的地。",""
U; W,"Northwest Louisiana stands out as a tourist destination since COVID-19 has been put under control again.","自从 COVID-19 再次受到控制以来，路易斯安那州西北部成为了一个引人注目的旅游目的地。",""
W,"Tossing the wok allows faster mixing, which is essential when you have super high humidity.","翻炒锅可以加快混合速度，这在湿度超高时必不可少。","翻炒锅可以「加快混合速度【更快地混合】」，这在湿度超高时必不可少。"
W,"Tossing the wok allows better visibility, which is essential when you have super high humidity.","翻炒锅可以提高能见度，这在湿度超高时必不可少。","翻炒锅可以「提高能见度【有更好的能见度】」，这在湿度超高时必不可少。"
W,"Tossing the wok allows better humidity, which is essential when you have super high humidity.","翻炒锅可以增加湿度，这在湿度过高时是必不可少的。","翻炒锅可以「增加湿度」，这在湿度「过高【超高】」时是必不可少的。"
W,"Tossing the wok allows better circulation, which is essential when you have super high humidity.","翻动炒锅可以促进循环，这在湿度过高时必不可少。",""
O,"Coffee began to spread as a method for religious devotees to remain alert and active until the early hours of the morning.","咖啡开始作为一种让宗教信徒保持警觉和活跃直到凌晨的方法开始传播。","咖啡「开始」作为一种让宗教信徒保持警觉和活跃直到凌晨的方法开始传播。"
U,"Hotels should be flexible to meet the demand of consumers and at every turn, he said.","他说，酒店应该灵活地满足消费者的需求。","他说，酒店应该灵活地【抓住每一次机会】满足消费者的需求。"
L,"Despite not feeling anything at first, my stomach became a bottomless pit as I continued walking.","虽然一开始没什么感觉，但我的胃一直往前走，变成了一个无底洞。","虽然一开始没什么感觉，但「我的胃」一直往前走，【我的胃】变成了一个无底洞。"
L,"After living in Chengdu for three years, he would describe the food.","在成都住了三年，他会描述这里的食物。","在成都住了三年【以后】，他会描述这里的食物。"
W,"All scenic spots in Gansu's Gannan yi autonomous prefecture also offered free admission to people during the holiday.","甘肃省甘南彝族自治州各景区也实行春节期间免费开放。","甘肃省甘南彝族自治州各景区也实行「春节【假期】」期间免费开放。"
U,"All scenic spots in Gansu's Gannan yi autonomous prefecture also offered free admission to visitors during the tour.","游览期间，甘肃省甘南彝族自治州各景点也实行免费开放。","游览期间，甘肃省甘南彝族自治州各景点也实行【对游客】免费开放。"
U,"He then worked with other village officials to explain the tax benefits of sika deer hunting to the villagers.","随后，他与其他村干部一起，向村民们解释了梅花鹿狩猎的税收优惠。","随后，他与其他村干部一起【工作/合作】，向村民们解释了梅花鹿狩猎的税收优惠。"
U,"He then worked with other district officials to explain the tax benefits of sika deer hunting to the villagers.","随后，他与其他地区官员一起向村民解释了梅花鹿狩猎的税收优惠。",""
O,"The event attracted 285 enterprise from 30 countries, a turnout smaller than previous years due to the pandemic.","此次活动吸引了来自30个国家的285家企业参加，受疫情影响，参会人数较往年有所减少。","此次活动吸引了来自30个国家的285家企业「参加」，受疫情影响，参会人数较往年有所减少。"
W,"Many companies are conducting road shows, and national and regional conferences, and organizing events and incentive programs.","许多公司都在举办路演、全国和地区会议，并组织活动和奖励计划。","许多公司「都在【正在】」举办路演、全国和地区会议，并组织活动和奖励计划。"
L; W,"The Pied Piper then, more than a mere tale, becomes the emblem of a profound new mystery.","花衣魔笛手不仅仅是一个故事，而是一个深刻的新谜团的象征。","花衣魔笛手不仅仅是一个故事，「而是【还 成为】」一个深刻的新谜团的象征。"
L; W,"The Pied Piper then, more than a fairy tale, becomes the subject of a profound new mystery.","于是，魔笛手不再是一个童话故事，而是成为一个深刻的新谜团的主题。","于是，「【花衣】魔笛手」「不再【不仅】」是一个童话故事，「而是【还】」成为一个深刻的新谜团的主题。"
L; W,"The Pied Piper then, more than a fairy tale, becomes the object of a profound new mystery.","于是，魔笛手不再是一个童话故事，而是一个深刻的新谜团。",""
L; W,"The Pied Piper then, more than a fairy tale, becomes the focus of a profound new mystery.","魔笛手不再是一个童话故事，而是成为一个深刻的新谜团的焦点。",""
W,"The Pied Piper then, more than a fairy tale, becomes the emblem of a profound new philosophy.","《魔笛手》不仅是一个童话故事，还成为一种深刻的新哲学的象征。",""
O; W,"As governments restrict travel to help slow the spread of coronavirus, some separated couples are meeting each other at their nations’closed borders.","由于各国政府限制旅行以帮助减缓冠状病毒的传播，一些分居的夫妇在他们国家的封闭边界上相遇。","由于「各国」政府限制旅行以帮助减缓冠状病毒的传播，一些分居的夫妇在他们国家的封闭边界上「相遇【见面】」。"
W,"As countries restrict immigration to help slow the spread of coronavirus, some separated couples are meeting each other at their nations’closed borders.","随着各国限制移民以帮助减缓冠状病毒的传播，一些分居的夫妇在他们国家的封闭边界相遇。",""
W,"As countries restrict migration to help slow the spread of coronavirus, some separated couples are meeting each other at their nations’closed borders.","随着各国限制移民以帮助减缓冠状病毒的传播，一些分居的夫妇在他们国家的封闭边界相遇。",""
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the holiday.","从 10 月中旬到 11 月，一些热门航线的费用已减半，直至假期结束。","从 10 月中旬到 11 月，一些热门航线的费用【在这一年】已减半，直至假期结束。"
U,"The costs of some popular events have been halved for the year from mid-October through November, ending with the holiday.","从 10 月中旬到 11 月，到假期结束，一些热门活动的费用已减半。",""
L,"The costs of some popular routes have been halved for the season from mid-October through November, ending with the holiday.","从 10 月中旬到 11 月的这个季节，一些热门航线的费用已经减半，直到假期结束。","从 10 月中旬到 11 月「的这个季节」，一些热门航线【在这个季节】的费用已经减半，直到假期结束。"
U,"The costs of some popular routes have been halved for the weekend from mid-October through November, ending with the holiday.","从 10 月中旬到 11 月，一些热门航线的费用在周末减半，假期结束。","从 10 月中旬到 11 月，一些热门航线的费用在周末减半，【直至】假期结束。"
L,"The costs of some popular routes have been halved for the week from mid-October through November, ending with the holiday.","从 10 月中旬到 11 月，到假期结束的这一周，一些热门航线的费用已经减半。","从 10 月中旬到 11 月，到假期结束「的这一周」，一些热门航线【在这一周】的费用已经减半。"
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the weekend.","从 10 月中旬到 11 月，一些热门航线的费用已减半，到周末结束。",""
L,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the summer.","从 10 月中旬到 11 月，到夏季结束的这一年，一些热门航线的费用已减半。",""
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the spring.","从 10 月中旬到 11 月，到春季结束，一些热门航线的费用已减半。",""
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the summit.","从 10 月中旬到 11 月，到峰会结束，一些热门路线的费用已减半。",""
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the festival.","从 10 月中旬到 11 月，一些热门路线的费用已减半，到节日结束。",""
U,"The costs of some popular routes have been halved for the year from mid-October through November, ending with the winter.","从 10 月中旬到 11 月，到冬季结束，一些热门路线的费用已减半。",""
U; W,"Experts have already begun assessing how a recovery might look once the Covid-19 virus is released, and which countries hope to bounce back best.","专家们已经开始评估 Covid-19 病毒释放后的复苏情况，以及哪些国家希望反弹得最好。","专家们已经开始评估 【一旦】「Covid-19」 病毒释放后「的复苏情况【复苏(情况)可能会是什么样】」，以及哪些国家希望反弹得最好。"
U; W,"Experts have already begun assessing how a world might look once the Covid-19 virus is released, and which countries hope to bounce back best.","专家们已经开始评估一旦 Covid-19 病毒发布后世界会是什么样子，以及哪些国家希望反弹得最好。","专家们已经开始评估一旦 「Covid-19」 病毒「发布【释放/传播】」后世界会是什么样子，以及哪些国家希望反弹得最好。"
U; W,"Experts have already begun assessing how a situation might look once the Covid-19 virus is released, and which countries hope to bounce back best.","专家们已经开始评估 Covid-19 病毒发布后的情况，以及哪些国家希望反弹得最好。",""
U; W,"Experts have already begun assessing how a war might look once the Covid-19 virus is released, and which countries hope to bounce back best.","专家们已经开始评估一旦 Covid-19 病毒发布后战争可能会是什么样子，以及哪些国家希望能够最好地反弹。",""
U; W,"Experts have already begun assessing how a deal might look once the Covid-19 virus is released, and which countries hope to bounce back best.","专家们已经开始评估一旦 Covid-19 病毒发布后交易会是什么样子，以及哪些国家希望反弹得最好。",""
